Date,Content,Video title,Video publish time,Views
2023-09-30,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-01,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",14
2023-10-02,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",85
2023-10-03,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",43
2023-10-04,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",15
2023-10-05,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",1
2023-10-06,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-07,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-08,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-09,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-10,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",1
2023-10-11,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-12,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-13,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-14,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",1
2023-10-15,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-16,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-17,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-18,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-19,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-20,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",1
2023-10-21,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-22,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-23,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-24,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-25,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-26,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-10-27,GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",0
2023-09-30,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",609
2023-10-01,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",465
2023-10-02,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",423
2023-10-03,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",428
2023-10-04,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",442
2023-10-05,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",450
2023-10-06,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",557
2023-10-07,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",577
2023-10-08,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",505
2023-10-09,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",681
2023-10-10,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",497
2023-10-11,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",478
2023-10-12,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",688
2023-10-13,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",824
2023-10-14,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",1198
2023-10-15,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",983
2023-10-16,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",802
2023-10-17,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",675
2023-10-18,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",721
2023-10-19,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",575
2023-10-20,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",728
2023-10-21,VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",528
