Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
Total,,,78824,1527.6323,352,0:01:09,1196428,4.72
VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",59417,387.978,171,0:00:23,546365,7.81
jafYtKBJesc,Spongebob FakBoi,"Apr 21, 2020",1223,12.7024,14,0:00:37,15541,6.24
3WAPOKLngcU,France vs Denmark kalian pilih mana,"Nov 27, 2022",794,9.3199,1,0:00:42,2519,28.66
AW-FEW58Wt0,🔴LIVE | Menunggu scene segnya mas bro,"Feb 22, 2023",465,15.1635,5,0:01:57,8156,4.44
FJGgGkG8VSI,Simulasi Jadi God | World Box Simulator,"Jul 9, 2022",410,8.8811,11,0:01:17,9859,3.54
YMC1fq1E220,The Real Backroom,"Apr 11, 2023",305,20.6165,3,0:04:03,7516,3.53
8H2JCp6mxiU,Rizky Rewind 2018 | Remix,"Dec 22, 2018",290,10.0733,21,0:02:05,1889,9.58
cF11lf9L4JU,Rencanannya sih mau bikin auto farm BEE,"Aug 16, 2023",245,10.0682,2,0:02:27,14044,1.39
B50FXqV4YK0,ILMU PADI,"Sep 24, 2023",234,8.1012,0,0:02:04,12237,0.84
UyNajNnkT-s,PERJALANAN PRIA BEROTOT,"Sep 20, 2023",229,10.6939,2,0:02:48,16540,1.06
5awVicbECzg,TAMAT JUGA NI GEAR 5,"Sep 22, 2023",213,4.7475,0,0:01:20,6988,2.73
CsXvdR-uqHo,🔴LIVE | Yok Lah Speed Run Penasaran Seg Ama Robot,"Feb 23, 2023",212,6.409,2,0:01:48,3583,4.63
xYxBWxBuxGg,Lika-Liku Menjadi Polisi Baik Seperti Polisi Irlandia,"Mar 10, 2023",204,4.3196,1,0:01:16,8496,1.97
juwyhpV0JH0,Kaaameehaaameeehaaaaaaaaaaaaaaaaaaaaaaaaaaa,"Aug 29, 2023",202,2.064,1,0:00:36,12457,1.27
yoaqO6rl76c,Random Discrot,"Mar 21, 2023",199,2.0533,0,0:00:37,3099,5.29
dNdkWdMU_ak,Apa itu pubg mobail,"Feb 16, 2023",163,2.3106,0,0:00:51,2048,6.79
GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",161,6.9403,0,0:02:35,23731,0.61
XvaG_VxqB8I,"Coba bayangin, daripada donate youtuber lain mending gw.","Jul 28, 2023",160,6.4833,3,0:02:25,11486,0.97
Aae8Mdr0d0c,Mau sekali main Hogwart Legacy tapi laptop saya menolak 😔,"Feb 11, 2023",157,2.5483,0,0:00:58,3809,3.44
cvqfIwxBNHY,Im Fast boiii,"Sep 9, 2023",154,7.0033,0,0:02:43,8439,1.18
VY2TTo3mV1c,Chat and Adventure,"Aug 8, 2023",151,5.1819,0,0:02:03,7369,1.06
lR2JKoJrrh4,Study With FalJo | AP 2A,"Jun 15, 2023",151,4.6725,0,0:01:51,7051,1.56
L1Bof-DXQqw,Parodi dilan 1991 (Dilan Gagap),"Feb 8, 2019",150,2.1694,1,0:00:52,1926,5.82
_nAS8KM1fWs,Chat and Study 🫅🏻,"Jul 23, 2023",145,15.0721,3,0:06:14,9297,1.11
oK2dOHZb8T8,Kehidupan RifalJo Di Kota Baru,"Mar 13, 2023",143,7.4524,1,0:03:07,3352,3.37
PFtqOPirMlo,Community Shield Reaction | Citizen Sokin,"Aug 6, 2023",141,7.5424,0,0:03:12,7547,1.59
VNCL0lnXIUo,The Nun,"Apr 16, 2023",141,5.0913,1,0:02:09,6687,1.78
5DdWFbxk7Bw,GUNDAM INI MEMBANTAI 1000 GUNDAM LAINNYA!!,"Sep 15, 2023",140,7.5339,0,0:03:13,2192,5.61
